"PENYERAH_PIUTANG","LOKASI","UMUR_BKPN","NILAI_SP3N","ADA_JAMINAN","POTENSI"
"059 - Kementerian Komunikasi dan Informatika","Luar Kota","<1th","<8jt","Tidak ada","Potensial"
"059 - Kementerian Komunikasi dan Informatika","Luar Kota","<1th","<8jt","Tidak ada","Potensial"
"059 - Kementerian Komunikasi dan Informatika","Luar Kota","1-5th","<8jt","Tidak ada","Potensial"
"059 - Kementerian Komunikasi dan Informatika","Dalam Kota","<1th","<8jt","Tidak ada","Potensial"
"059 - Kementerian Komunikasi dan Informatika","Luar Kota","1-5th","<8jt","Tidak ada","Tidak Potensial"
"059 - Kementerian Komunikasi dan Informatika","Luar Kota","<1th","<8jt","Tidak ada","Potensial"
"059 - Kementerian Komunikasi dan Informatika","Dalam Kota","<1th","<8jt","Tidak ada","Tidak Potensial"
"059 - Kementerian Komunikasi dan Informatika","Dalam Kota","<1th","<8jt","Tidak ada","Tidak Potensial"
"059 - Kementerian Komunikasi dan Informatika","Dalam Kota","<1th","<8jt","Tidak ada","Tidak Potensial"
"059 - Kementerian Komunikasi dan Informatika","Dalam Kota","<1th","<8jt","Tidak ada","Tidak Potensial"
"059 - Kementerian Komunikasi dan Informatika","Luar Kota","<1th","<8jt","Tidak ada","Tidak Potensial"
"059 - Kementerian Komunikasi dan Informatika","Dalam Kota","1-5th","<8jt","Tidak ada","Tidak Potensial"
"059 - Kementerian Komunikasi dan Informatika","Dalam Kota","<1th","<8jt","Tidak ada","Potensial"
"059 - Kementerian Komunikasi dan Informatika","Dalam Kota","<1th","<8jt","Tidak ada","Potensial"
"059 - Kementerian Komunikasi dan Informatika","Dalam Kota","5-10th","<8jt","Tidak ada","Potensial"
"086 - Lembaga Administrasi Negara","Dalam Kota","<1th","8-50jt","Tidak ada","Potensial"
"059 - Kementerian Komunikasi dan Informatika","Dalam Kota","1-5th","8-50jt","Tidak ada","Potensial"
"059 - Kementerian Komunikasi dan Informatika","Luar Kota","1-5th","<8jt","Tidak ada","Potensial"
"059 - Kementerian Komunikasi dan Informatika","Luar Kota","<1th","<8jt","Tidak ada","Potensial"
"059 - Kementerian Komunikasi dan Informatika","Luar Kota","1-5th","<8jt","Tidak ada","Potensial"
"059 - Kementerian Komunikasi dan Informatika","Dalam Kota","<1th","<8jt","Tidak ada","Potensial"
"059 - Kementerian Komunikasi dan Informatika","Luar Kota","<1th","<8jt","Tidak ada","Potensial"
"059 - Kementerian Komunikasi dan Informatika","Luar Kota","<1th","8-50jt","Tidak ada","Potensial"
"059 - Kementerian Komunikasi dan Informatika","Luar Kota","<1th","<8jt","Tidak ada","Potensial"
"059 - Kementerian Komunikasi dan Informatika","Luar Kota","1-5th","<8jt","Tidak ada","Potensial"
"044-BLU - BLU di bawah Kementerian Koperasi dan UKM seperti LPDB dll","Luar Kota","1-5th","50-300jt","Ada","Tidak Potensial"
"059 - Kementerian Komunikasi dan Informatika","Luar Kota","<1th","<8jt","Tidak ada","Potensial"
